productCode,qty,value,notes
"Premium Non-Footed Frogsuit (PNF-010726)","1462","144898.82","receipt-backfill"
"Milkberry Frogsuit (MF-010226)","925","114441","receipt-backfill"
"Baby Shoes (BS-010826)","400","25596","receipt-backfill"
"Zippered Frogsuit (ZF-010326)","179","19869","receipt-backfill"
"Carters Onesie (CO-011026)","300","15888","receipt-backfill"
"Ruffled Frogsuit (RF-010226)","94","11572.34","receipt-backfill"
"Mixed Shorts (MS-010226)","340","9836.2","receipt-backfill"
"Formal Romper (FR-011026)","60","6225.6","receipt-backfill"
"Baby Pants (BP-011026)","100","4421","receipt-backfill"
"Sleeveless Tops (ST-011026)","50","2902.5","receipt-backfill"
